YB1950,Sample,Aulacoseira italica,Cyclotella cf. elgeri,Cyclotella michiganiana,Cyclotella bodanica var. lemanica,Fragilaria capucina vaucheriae,Fragilaria crotonensis,Fragilaria parasitica,Psuedostaurosira brevistriata,Staurosira construens construens,Staurosirella leptostauron,Staurosirella pinnata,Synedra ulna ulna,Tabellaria flocculosa,Acnanthidium minutissimum,Cocconeis placentula v. lineata,Aneumastus tuscula,Anomoeoneis costata,Anomoeoneis sphaerophora ,Anomoeoneis sphaerophora f. sculpta,Brachysira vitrea,Caloneis molaris,Caloneis pulchra,Caloneis silicula,Caloneis thermalis,Caloneis undulata,Craticula cuspidata v. ambigua,Craticula cuspidata v. cuspidata,Craticula halophila,Diploneis oblongella,Diploneis cf. parma,Hippodonta capitata v. capitata,Hippodonta capitata v. hungarica,Luticola mutica,Luticola nivalis,Mastogloia grevillei,Mastogloia smithii v. lacustris,Navicula abiskoensis,Navicula cryptocephala,Navicula digitoradiata,Navicula diluviana,Navicula gysingensis? (festiva?),Navicula lanceolata v. lanceolata,Navicula cf. oblonga (microstauron),Navicula nivalis,Navicula menisculus v. menisculus,Navicula veneta,Neidium ampliatum,Pinnularia appendiculata,Pinnularia borealis v. rectangularis,Pinnularia brebissoni ,Pinnularia divergentissima,Pinnularia streptoraphe v. minor,Sellaphora bacillum,Sellaphora laevissima,Sellaphora pupula v. rectangularis,Stauroneis phonecitron v. gracillis,Amphora coffeiformis,Amphora libyca,Amphora pediculus,Amphora subcapitata,Amphora veneta,Cymbella affinis,Cymbella cistula,Cymbella cymbiformis,Cymbella delicatula,Cymbella ehrenbergii,Cymbella cf. hybrida,Cymbella leptoceros,Cymbella mexicana,Cymbella proxima,Cymbella subaequalis,Encyonema evergladianum,Encyonema mesiana,Encyonema minuta,Encyonema muellerii,Encyonema norwegica,Encyonema silesiaca,Encyonopsis angustata (lanceolate),Encyonopsis angustata (descripta),Encyonopsis cesatii,Encyonopsis falaisensis,Encyonopsis microcephala,Gomphonema angustum,Gomphonema clavatum,Gomphonema minutum,Gomphonema parvulum v. parvulum,Gomphonema subtile,Navicella pusilla,Entomoeoneis elata,Hantzschia amphioxys,Nitzschia alpina,Nitzschia amphibia f. amphibia,Nitzschia fonticola,Nitzschia frustulum v. bulnheimiana,Nitzschia gisela,Nitzschia palea,Nitzschia perminuta,Nitzschia subacicularis,Nitzschia vitrea,Epithemia adnata,Epithemia argus,Epithemia sorex,Epithemia turgida,Epithemia turgida v. granulata,Denticula kuetzingii,Rhopalodia gibba,Surrirellales,Surirella brebissoni,Surirella linearis constricta
42,Foy-001,0,0,0,0.952662722,0,0,0,0,0,0,0,0,0,0,0.00295858,0,0,0,0,0,0,0,0,0,0,0,0,0.00591716,0,0,0,0,0,0,0,0,0,0,0,0,0.00295858,0,0.00295858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00591716,0,0,0,0,0,0,0,0,0.026627219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.5,Foy-002,0,0,0,0.957703927,0.003021148,0,0,0,0,0,0,0,0,0,0.006042296,0,0,0,0,0,0,0,0,0,0,0,0,0.003021148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012084592,0,0,0,0,0,0,0,0,0.018126888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.5,Foy-003,0,0,0,0.930722892,0.006024096,0,0,0,0,0,0,0,0,0,0.003012048,0,0,0,0.003012048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006024096,0,0,0,0,0,0,0.003012048,0,0,0,0,0.006024096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003012048,0,0.021084337,0,0,0,0,0,0,0,0,0.018072289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Foy-004,0,0,0,0.94084507,0.002816901,0,0,0,0,0,0,0,0,0,0.002816901,0,0,0,0,0,0,0,0,0,0,0,0,0.002816901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002816901,0,0,0,0,0,0,0,0,0,0,0,0.005633803,0,0,0,0,0,0,0,0,0.005633803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008450704,0,0,0,0,0,0,0,0,0.022535211,0,0,0.005633803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Foy-005,0,0,0,0.935933148,0.002785515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005571031,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008356546,0.002785515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005571031,0.002785515,0,0,0,0,0,0,0,0,0,0,0,0,0.011142061,0,0.005571031,0,0,0,0,0,0,0,0,0.016713092,0,0,0,0.002785515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Foy-006,0,0,0,0.96056338,0,0,0,0,0,0,0,0,0,0,0,0,0.005633803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002816901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002816901,0,0,0,0,0,0,0.002816901,0,0.022535211,0,0,0.002816901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.5,Foy-007,0,0,0,0.95821727,0,0,0,0,0,0,0,0,0,0,0.011142061,0,0,0,0,0,0,0,0,0,0,0,0,0.002785515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002785515,0,0,0,0,0,0,0.002785515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008356546,0,0,0,0,0,0,0,0,0,0,0.011142061,0.002785515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Foy-008,0,0,0,0.882198953,0,0,0,0,0,0,0,0,0,0.007853403,0.002617801,0,0,0,0,0,0,0.002617801,0,0,0,0,0,0.013089005,0,0,0,0,0,0,0,0,0,0,0,0,0.005235602,0,0.010471204,0,0.002617801,0,0.005235602,0,0,0.002617801,0,0,0,0,0.002617801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007853403,0,0,0,0,0.013089005,0,0.015706806,0,0,0,0,0,0,0,0,0.018324607,0,0,0.002617801,0,0,0.002617801,0,0.002617801,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Foy-009,0,0,0,0.926121372,0,0,0,0,0,0,0,0,0,0,0,0,0.002638522,0,0,0,0,0,0,0,0,0,0,0.005277045,0,0,0,0,0,0,0,0,0,0.005277045,0,0,0,0.007915567,0.002638522,0,0,0,0.005277045,0,0,0.007915567,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005277045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013192612,0,0,0,0,0,0,0,0,0.01055409,0.002638522,0,0,0,0,0,0,0.005277045,0,0,0,0,0,0,0,0,0,0,0,0,0
17.5,Foy-010,0,0,0,0.909589041,0,0,0,0,0,0,0,0,0,0.005479452,0.005479452,0,0,0,0,0,0,0,0,0,0,0,0,0.010958904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002739726,0.005479452,0,0,0,0,0,0,0,0,0,0,0,0.002739726,0,0,0.005479452,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005479452,0,0,0,0,0,0,0.002739726,0,0,0,0,0,0,0,0,0.032876712,0,0,0,0,0,0.005479452,0,0,0,0,0,0,0,0,0,0,0,0.005479452,0,0,0
