depth,pac,pulpac,csph,elam,anana,aexi,aexc,aharp,gtest,lleyd,plaevis,ptrunc,cfcampto,ainter,bos,chaojaw,scrys,chydEPH,acost,arust,agure,aquad,aaff,cpiger
0.5,286.6675971871,121.2404221774,100.8038317136,14.8192212615,34.6401206221,4.3300150777,2.1650075389,26.4748890921,5.3285609695,9.5466322103,2.1650075389,0,15.0990808537,0,2.1090356204,22.4247336067,0,0,2.1650075389,0,58.4552035498,65.5009967105,1.0545178102,0
3.5,244.6667024677,110.3000114006,50.8094725743,12.3681936089,32.0875477402,0,0,12.0343586947,4.3452878125,11.0314954701,8.3560614697,0,9.6934388495,0,0,15.7106181968,1.671212294,0,28.4106089971,0,60.1636425822,39.7766186224,1.0028632246,0
6.5,99.5338007848,35.4304239828,64.3562615436,18.3345406789,75.8573973709,1.4997895666,0,20.5758069151,8.2404245026,6.17610932,8.9987373996,0,7.6758988866,1.4997895666,0,17.0285383934,3.3703174679,0,5.9991582665,0,40.8650566332,21.4498100302,1.931788737,0
9.5,137.7163132162,15.6495810473,146.6458105228,25.7701341133,166.4395192299,0,0,22.9939065217,41.3195794053,3.1299162095,9.3897486284,0,0.9843573001,0,0,17.2646070297,10.3741059285,0,18.7794972568,0,118.9368159595,35.5330455464,2.0259489671,0
12.5,49.501190073,4.3840993767,166.4795940637,41.0307661559,128.3214248527,0,3.4681466177,11.4848723636,43.0895207596,0,10.9602484417,0,4.7442435469,0,0,12.9566337115,12.236345371,2.5521938587,13.5124423003,0,140.8158039762,22.4451208053,1.2760969293,0
15.5,35.3474247178,0,152.363732009,21.7844898608,100.1901062337,0,2.1848338369,16.3224052685,69.9216750585,6.4268044941,6.4268044941,0,6.4268044941,0,0,16.2585567602,10.7326236597,0,22.4938157295,0,94.3449305916,11.8250405781,0,0
18.5,8.2911301518,1.4696905367,97.6525226022,14.6671750968,41.0102560891,0,1.8853549372,34.8790663378,28.1170872619,0,18.5789639084,0,6.2944265472,0,0,11.5348269581,4.40907161,7.5414197487,14.6969053665,0,69.0754552228,6.6522623591,1.6388677927,0
21.5,5.0415515387,0,41.4636809639,32.1626344634,7.947381852,0,10.0831030773,36.819131458,2.9058303134,0,20.1662061547,0,6.9787717476,0,0,16.4783192644,0,0,6.148333796,0,69.6256503454,19.7692041218,1.9372202089,0
24.5,2.8895105462,0,79.7668461828,33.6202245706,0,0,16.3531543977,78.7673832799,15.4003535644,0,43.3426581937,0,5.7712440808,0,0,4.8028892244,0,11.5269341385,16.3609314093,0,84.756383686,6.7318219257,3.8500883911,0
27.5,0,0,126.429875608,66.5588746661,4.4517231334,0,117.0513285749,100.3134127656,0,0,289.3620036691,0,7.4987220167,0,0,10.6644960915,0,12.1879955332,10.4269457084,0,387.2999126032,25.9160499037,18.7199566216,0
30.5,4.0506879573,0,119.5043955797,66.3180855137,0,0,235.5422898125,261.0898124425,0,0,384.8153559511,0,16.2027518295,0,0,10.1926407209,0,27.6387874361,26.3636267272,0,521.8158657431,39.6761650017,71.9155163088,0
33.5,0,0,198.0575739796,56.5692886111,0,0,31.5916022643,176.4310207176,4.2644245544,0,123.0803398135,0,0,0,0,4.2644245544,0,1.5012637345,9.7907461944,0,80.1316637794,12.6757059296,27.5098092846,0
36.5,0,0,176.6211047372,10.0966876388,0,0,22.3779761904,341.6045984456,0,0,220.9869479398,0,0,0,0,4.4755952381,0,3.3655625463,4.4755952381,0,40.2803571429,1.6827812731,6.1583765113,0
39.5,0,0,235.2241475429,4.1663462304,6.0224440666,0,19.4692794777,152.7660284475,3.244879913,0,58.407838433,0,6.0224440666,0,0,13.9009859692,0,2.7775641536,0,0,43.572220945,31.7298022743,3.9638767681,0
42.5,0,0,82.9695830231,0,5.4368647502,4.4494111369,19.5110136779,14.0741489276,0,0,17.7976445479,0,9.6364775453,0,0,25.697273454,0,11.3615864299,0,0,55.6176392122,55.7490934179,3.0807049761,0
45.5,0,0,58.4639966587,0,1.4589017228,1.4589017228,18.6955276013,7.4241720815,4.3767051684,0,16.0479189509,0,7.824030344,0,0,15.712892422,1.4589017228,4.9710586322,7.294508614,0,33.5547396245,118.1275681053,5.4357486286,0
48.5,0,0,29.9906321181,0,1.5538549464,5.0920526171,28.1374852008,11.4755685672,5.5225403947,0,26.4155340901,0,17.2605005755,0,0,17.8221841598,0,1.5538549464,1.70625904,0,55.0729998541,125.8212611957,1.9843427241,0
51.5,0,0,19.1800615772,0,3.256079575,4.8841193625,21.1645172375,8.1401989375,7.4866131829,0,13.0243183,0,6.8330274283,0,0,16.6012661533,0,0.9744540329,4.8841193625,0,27.6766763875,43.9096774698,0.9744540329,0
54.5,0,0,11.0570235009,0,2.6067718558,0,23.0092143674,5.7523035919,5.7523035919,1.1686959578,11.5046071837,0,6.1128597294,0,0,6.6516196096,0,0,0,0,38.8280492451,65.9897037111,5.300749718,0
57.5,0,0,22.7747827037,0,1.8451274125,1.8451274125,28.5634664427,11.5773674779,4.6761439066,1.8451274125,14.7610193,0,6.5212713192,0,0,12.1833043074,0,0.9858890816,0,0,36.90254825,75.8588254361,2.8310164942,0
60.5,0,0,8.0427780178,0,1.0607800566,3.1823401697,26.5195014141,6.3646803393,3.1823401697,0,7.4254603959,0,2.0106945045,0,2.1215601131,13.5684095179,0,2.9606089524,1.0607800566,0,32.8841817534,31.3236704576,2.5104257437,0
63.5,0,0,17.6871852457,0,0,2.3668768611,31.9528376248,11.8343843055,3.3071884844,0,17.7515764582,0,5.4309385381,0,0,16.7790692288,0,0,3.5503152917,0,35.5031529165,47.3918019485,4.6794889956,0
66.5,0,0,34.7134919465,0,0,0,34.0504771332,11.3501590444,3.8350198984,0,18.4440084471,0,10.9288693012,0,0,16.6039488234,0,0,3.8350198984,0,25.5378578499,25.8944579827,1.0621697477,0
69.5,1.5349905593,6.1399622372,38.8945646809,6.8371265727,3.0699811186,1.5349905593,27.6298300672,7.4303307684,4.6049716779,0,0,0,6.4885444049,0,1.5349905593,32.3387618848,0,0,3.0699811186,0,32.2348017451,34.0816727234,10.500311887,0
72.5,5.4961884154,2.7480942077,40.730567168,4.2483129053,4.1221413116,8.2442826231,30.229036285,13.7404710387,9.2023712236,3.7061828082,19.2366594541,0,11.534506928,0,2.7480942077,45.0537675178,0,0,0,0,43.9695073237,27.1537114454,1.3740471039,0
75.5,20.2542657962,6.2320817835,34.9832782728,3.9163677749,9.3481226752,4.6740613376,49.8566542678,17.1382249045,4.6740613376,0,21.8122862421,1.5580204458,6.6322452251,0,17.1382249045,32.9398277442,0,1.9581838875,0,0,49.9845542293,23.234174948,13.0857253896,0
78.5,45.2708639924,15.5618594974,115.9084574153,13.1574956251,21.2207174965,11.3177159981,60.8327234898,26.8795754956,10.3629464051,2.352044203,14.1471449976,1.4147144997,10.3280666256,0,70.2583401917,20.7084529204,0,4.6866485162,0,0,66.0141966924,33.3711238593,30.9841998768,0
81.5,29.3383419975,10.3547089403,100.6317474089,8.9377663938,24.1609875274,10.3547089403,48.3219750546,25.8867723507,7.2119815704,0,25.8867723507,2.6658878043,7.9976634129,0,76.8746352096,15.5184872602,0,0,3.4515696468,0,39.6930509378,49.1493778148,32.1169300225,0
84.5,18.4736062907,11.368373102,72.2914717373,8.856491354,15.6315130152,12.7894197398,29.8419793928,17.052559653,7.54304773,4.2631399133,14.2104663775,1.4210466378,2.7882917686,0,82.4207049895,23.1207592384,0,0.9294305896,5.684186551,1.4207149404,44.0524457702,33.2906942162,17.2751681666,2.3319829593
87.5,17.9064359336,17.9064359336,87.1039456553,10.0322369603,17.9799148123,11.6759227962,50.1380206139,41.1848026472,11.6759227962,4.5133484228,25.069010307,0,13.613524147,0,84.1602488877,27.0800905365,0,0.932061236,1.7906435933,0,68.0444565475,51.22581715,26.7773974791,7.2586621379
90.5,18.0824932953,9.863178161,137.6498800747,7.9531110022,26.3018084295,9.863178161,65.7545210736,24.6579454026,3.6582109746,0,21.3702193489,0,16.8091151894,0,143.0160833353,42.2080304338,0,3.0215219215,3.2877260537,0,67.3983841005,41.8773342845,10.7262825744,4.9160671455
